index	#1 Label	#2 ImageID	#3 String	#3 String
1	2	1860693.jpg	RT @ ltsChuckBass : $T$ is everything # MCM	Chuck Bass
2	1	1860693.jpg	RT @ ltsChuckBass : Chuck Bass is everything $T$	# MCM
3	1	195984.jpg	$T$ September 7 - - - - Shut Down New York City	Millions For Trayvon
4	0	195984.jpg	Millions For Trayvon September 7 - - - - Shut Down $T$	New York City
5	2	871618.jpg	Me as $T$ .	John Lennon
6	1	280704.jpg	Former $T$ boss Rod Petricevic will be released from jail next month .	Bridgecorp
7	0	280704.jpg	Former Bridgecorp boss $T$ will be released from jail next month .	Rod Petricevic
8	2	638395.jpg	Tried $T$ for an out of game Halo 5 experience and holograms are totally awesome # E3	HoloLens
9	2	638395.jpg	Tried HoloLens for an out of game Halo 5 experience and holograms are totally awesome $T$	# E3
10	2	138186.jpg	RT @ BBC Travel : Chasing light and shadows in beautiful $T$ : # architecture	# Iran
11	1	512435.jpg	RT @ MySportsLegion : $T$ is already wearing a Johnny Football Browns jersey . ( via @ WFNYScott )	LeBron James
12	1	512435.jpg	RT @ MySportsLegion : LeBron James is already wearing a $T$ Football Browns jersey . ( via @ WFNYScott )	Johnny
13	1	512435.jpg	RT @ MySportsLegion : LeBron James is already wearing a Johnny $T$ jersey . ( via @ WFNYScott )	Football Browns
14	0	722168.jpg	RT @ arasmusKTVU : # BaytoBreakers race delayed because of unstable arch at $T$ ( per Mayors office ) # KTVU	Hayes st hill
15	1	722168.jpg	RT @ arasmusKTVU : # BaytoBreakers race delayed because of unstable arch at Hayes st hill ( per Mayors office ) $T$	# KTVU
16	2	74090.jpg	$T$ gov candidate Kirk Dillard greets supporters as the race tightens on primary election night	GOP
17	2	74090.jpg	GOP gov candidate $T$ greets supporters as the race tightens on primary election night	Kirk Dillard
18	1	73066.jpg	RT @ BI Defense : $T$ scrambles Typhoon jets to see off Russian bombers	Britain
19	1	623109.jpg	$T$ tells # Congobrazza to do more to attract foreign companies in agriculture	UNCTAD
20	2	71953.jpg	Hanging out with $T$ # Blackhawks # WinterClassic	Corey
21	2	71953.jpg	Hanging out with Corey $T$ # WinterClassic	# Blackhawks
22	1	1748621.jpg	RT @ ESPN FirstTake : I think he should STAY in $T$ . - @ stephenasmith # RevisFuture	New England
23	1	559998.jpg	$T$ holds its own mini - parade around 70th anniversary of WWII victory : https : t . co JNz6Ocp595	Taiwan
24	2	559998.jpg	Taiwan holds its own mini - parade around 70th anniversary of $T$ victory : https : t . co JNz6Ocp595	WWII
25	1	578058.jpg	. @ TheSwonBrothers @ SwonBrothers Performing July 24th at the $T$	Fayette County Fair
26	1	117833.jpg	RT @ nytimes : A French take on tagine , from $T$	Daniel Boulud
27	1	116990.jpg	RT @ thehill : Poll : $T$ amp Trump lead 2016 GOP field	Bush
28	1	116990.jpg	RT @ thehill : Poll : Bush amp $T$ lead 2016 GOP field	Trump
29	1	116990.jpg	RT @ thehill : Poll : Bush amp Trump lead 2016 $T$ field	GOP
30	2	38154.jpg	RT @ business : $T$ is now almost twice as valuable as the next biggest company on Earth	Apple
31	2	488240.jpg	RT @ barrabest : A great photo of $T$ . Taken @ DeeGregg .	# Belfast City Hall
32	2	70943.jpg	$T$ celebrates his goal , but the good times didn ' t last . # Blackhawks fall :	Brent Seabrook
33	0	70943.jpg	Brent Seabrook celebrates his goal , but the good times didn ' t last . $T$ fall :	# Blackhawks
34	1	569602.jpg	This is a fantastic idea - a purifying wave pool for surfers built into the $T$ :	Rotterdam canals
35	1	73141.jpg	RT @ Cosmopolitan : It ' s OK if these sexy shirtless photos of TFIOS ' $T$ makes you . . . feel things	Ansel Elgort
36	2	1490725.jpg	RT @ BarackObama : # ClimateChangeIsReal . So are the actions $T$ is taking to tackle it .	President Obama
37	2	37498.jpg	RT @ Swiftwriting : $T$ looking absolutely flawless at the BBC Teen Awards .	Taylor
38	1	37498.jpg	RT @ Swiftwriting : Taylor looking absolutely flawless at the $T$ .	BBC Teen Awards
39	1	446463.jpg	@ Louis Garneau Join I Am Able : a handicap cycling team that originated in $T$ .	Rwanda
